Group name,Event name,Day of week,Date,Start time,End time,Event URL
Ruby and Rails Melbourne,Ruby on Rails InstallFest,Thursday,19/02/2015,6:30 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/219051382/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,25/02/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/219387830/
Ruby and Rails Melbourne,Hack Night,Tuesday,10/03/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/219525271/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,25/03/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/219525272/
Ruby and Rails Melbourne,Hack Night,Tuesday,14/04/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytgbsb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,29/04/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytgbmc/
Ruby and Rails Melbourne,Hack Night,Tuesday,12/05/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlythbqb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,27/05/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlythbkc/
Ruby and Rails Melbourne,Hack Night,Tuesday,9/06/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/220405387/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,24/06/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytjbgc/
Ruby and Rails Melbourne,Hack Night,Tuesday,14/07/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytkbsb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,29/07/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytkbmc/
Ruby and Rails Melbourne,Hack Night,Tuesday,11/08/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytlbpb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,26/08/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytlbjc/
Ruby and Rails Melbourne,Hack Night,Tuesday,8/09/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytmblb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,30/09/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytmbnc/
Ruby and Rails Melbourne,Hack Night,Tuesday,13/10/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytnbrb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,28/10/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytnblc/
Ruby and Rails Melbourne,Hack Night,Tuesday,10/11/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytpbnb/
Ruby and Rails Melbourne,Melbourne Ruby,Wednesday,25/11/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/fdxfdlytpbhc/
Ruby and Rails Melbourne,Hack Night,Tuesday,8/12/2015,6:00 PM,9:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/tdxfdlytqblb/
